L0,L1,L2,Graph
0.53638905,,,
0.22334318,,,
-0.69141304,,,
0.7806963,,,
-0.13403715,,,
-0.018486694,,,
-0.45732087,,,
0.45108783,,,
-0.5177106,,,
0.18659423,,,
-0.25312108,,,
0.6096498,,,
1.0,,,
-0.6714332,,,
0.45097744,,,
-1.0,,,
0.5924034,,,
0.2356107,,,
-0.08879232,,,
-0.8199222,,,
0.24888422,,,
-0.8006984,,,
0.29764938,,,
0.43605137,,,
-0.58774567,,,
-0.18644834,,,
-0.6447016,,,
0.7460182,,,
-0.69732994,,,
-0.52076435,,,
-0.4681405,,,
-0.12392336,,,
0.80326116,,,
-1.0,,,
0.010930032,,,
-0.45451167,,,
0.48304814,,,
0.5943992,,,
-0.8345523,,,
0.26618862,,,
-0.23655403,,,
1.0,,,
-0.51964974,,,
-0.4646986,,,
0.34278917,,,
0.3518461,,,
-1.0,,,
-1.0,,,
-0.57353485,,,
-0.20418152,,,
0.0627414,,,
0.14239004,,,
0.92703235,,,
1.0,,,
-0.96016395,,,
-0.91888165,,,
-1.0,,,
-0.3898331,,,
0.57962006,,,
-0.3002678,,,
-0.9118866,,,
-0.056032375,,,
-0.014432456,,,
0.8802788,,,
-0.86192596,,,
0.44429275,,,
-0.69975543,,,
-0.030396223,,,
-0.87838113,,,
-0.41310033,,,
-0.13434601,,,
-0.3643163,,,
-0.6638025,,,
0.19881354,,,
0.8617395,,,
-0.3129332,,,
0.3055519,,,
-0.015114427,,,
-0.37262672,,,
-0.33744967,,,
-1.0,,,
-0.20853746,,,
0.07735341,,,
-0.4827381,,,
0.15655434,,,
-0.47867388,,,
0.7804395,,,
0.527624,,,
0.26538125,,,
0.20612438,,,
0.98253417,,,
-0.53577137,,,
-0.629467,,,
0.028365538,,,
-0.54519117,,,
-0.522411,,,
-0.09005745,,,
0.02819227,,,
0.37488022,,,
0.1019938,,,
-0.58841646,,,
-0.5895571,,,
0.85564,,,
0.20988888,,,
0.14655237,,,
0.9079464,,,
0.115574956,,,
-0.25657988,,,
0.854249,,,
-0.44208717,,,
-0.03098452,,,
0.5349772,,,
0.28052008,,,
-0.87508047,,,
-0.009162154,,,
0.74568784,,,
-0.13447921,,,
-0.63171184,,,
-0.87807494,,,
-0.48251128,,,
0.34258884,,,
